链接,名称,价格,评价,商店
https://item.jd.com/11993134.html,Python编程 从入门到实践 第2版(图灵出品),62.30,20万+条评价,人民邮电出版社
https://item.jd.com/12842874.html,Python编程三剑客：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装共3册）,165.50,5万+条评价,人民邮电出版社
https://item.jd.com/67807262390.html,Java核心技术系列书籍共8册：卷1+卷2+并发编程实战+并发编程的艺术+深入理解Java虚拟机 等,638.00,6条评价,芝麻开门图书专营店
https://item.jd.com/12857160.html,Go语言高并发与微服务实战,85.40,1万+条评价,中国铁道出版社
https://item.jd.com/12555860.html,Java从入门到精通（第5版）,34.90,10万+条评价,清华大学出版社
https://item.jd.com/10949745384.html,java从入门到精通(第5版) Java语言程序设计编程入门自学零基础计算机软件开发教程书籍JAVA,28.80,5000+条评价,"墨马图书旗舰店3个商家, ¥2880.00起"
https://item.jd.com/70260981429.html,汇编语言（第4版） 王爽 汇编语言程序设计 教程 编程书籍计算机编程 汇编语言程序设计,39.80,86条评价,芝麻开门图书专营店
https://item.jd.com/12353915.html,零基础学Python（编程入门 项目实践 同步视频）（Python3全彩版）,37.50,20万+条评价,明日科技京东自营旗舰店
https://item.jd.com/12683110.html,架构师修炼之道,88.10,2000+条评价,华中科技大学出版社
https://item.jd.com/10100236.html,O'Reilly：Head First设计模式（中文版）,58.60,10万+条评价,中国电力出版社
